acronym,x,y,gc1,gc2,gc3,gc4,bio1,bio2,bio3,bio4,bio8,bio12,bio15,bio18
fad,2986814.31353609,2174301.3464891613,0.8226,0.0279,0.0481,0.1014,12.0958333333333,11.825000000000001,0.399493243243243,6.30603817180347,5.66666666666667,530.6,39.3441238034719,63.6
frc,2862861.0038270317,2126001.3310451126,0.6151,0.0547,0.1709,0.1594,14.175,12.25,0.41666666666666696,6.12069886086994,8,998.7,57.094489113889004,76.39999999999999
fre,2917909.0398520487,2299379.640269642,0.5875,0.0217,0.241,0.1498,12.962499999999999,10.825,0.44183673469387796,5.02213848873167,7.91666666666667,776.2,41.5317015918193,96
fun,3137347.4003183413,2075678.6277323912,0.0463,0.0265,0.9124,0.0149,6.3958333333333295,9.591666666666669,0.33537296037296,6.694959377069139,0.21666666666666698,1206.1,45.0996344045618,116.19999999999999
fue,2971978.615989381,1823488.1432238983,0.0277,0.0173,0.0531,0.9019,15.4958333333333,12.825,0.40330188679245305,6.71075996012555,8.83333333333333,555.2,52.1540338625666,42.5
fut,3157212.384406708,2132156.1960949334,0.5203,0.3376,0.1055,0.0367,11.7208333333333,12.524999999999999,0.406655844155844,6.480546355100481,8.01666666666667,504.4,30.0143445043385,79.4
glo,2980014.9326961264,2030724.6203255362,0.5173,0.1523,0.0971,0.2333,14.5416666666667,12.2333333333333,0.395900755124056,6.686649974298629,7.800000000000001,1321,57.238229674467,88.5
gra,2945078.663783768,1660621.1223732145,0.0154,0.0315,0.9341,0.0191,13.8125,9.69166666666667,0.34489916963226597,6.45942317295227,6.68333333333333,1668.6000000000001,65.265788112455,80.9
gua,3002435.1748008924,1945557.0340611234,0.1853,0.0444,0.0428,0.7275,15.1541666666667,11.1083333333333,0.366611661166117,6.839772003554359,8.36666666666667,879,59.583778083347,60.300000000000004
gud,3129910.8177064974,2061667.018670529,0.734,0.1044,0.0346,0.127,11.216666666666699,11.399999999999999,0.378737541528239,6.65672364583131,4.9,861.5999999999999,51.3456533887682,78.60000000000001
gue,3259900.9041865733,2326800.7179699084,0.0463,0.1556,0.0441,0.754,14.087499999999999,9.64166666666667,0.442278287461774,4.54108141906148,9.6,1202,31.6559037067792,190.3
hec,3447458.282586881,2256534.2779697543,0.2435,0.7009,0.0212,0.0344,8.149999999999999,11.7333333333333,0.401826484018265,6.13777424864036,2,1469.9,23.642581181603298,262.9
hee,3162828.1581674456,1904182.5719356365,0.0257,0.0084,0.9579,0.008,13.945833333333299,12.975000000000001,0.391993957703927,7.21013990323644,9.8,277,43.551153522985004,40
